mass,width,length_cm,wavelength,bounciness,recoil,condensation,distance,target,location_Belgium,location_China,location_France,location_Germany,location_India,location_Italy,location_Japan,location_Russia,location_South Korea,location_United Kingdom,location_United States,surface_bumpy,surface_flat,surface_matte,surface_shiny,surface_spiky
453,139,153,601,80.28,45.09,65.84,27.46,widget4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
424,121,102,358,36.83,37.01,55.25,32.61,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
443,116,149,569,52.51,57.18,31.55,51.49,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
299,151,88,472,61.76,20.85,65.54,38.38,widget5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
391,146,78,618,75.46,15.46,66.84,23.27,widget5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
373,145,112,615,64.36,39.34,57.34,38.13,widget2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
98,150,146,604,45.02,66.72,19.81,49.33,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
334,126,155,680,55.55,56.04,37.24,45.03,widget1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
259,118,103,433,76.92,35.57,78.6,23.53,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
353,94,143,422,20.26,69.07,58.75,49.49,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
432,134,84,501,44.58,56.19,38.34,43.91,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
393,168,96,597,41.25,65,41.76,50.84,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
372,90,155,606,50.98,66.41,33.79,40.4,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
615,103,122.567045,743,59.57,65.28,78.3,26.87,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
306,96,121,644,47.51,41.85,91.51,10.51,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
358,170,113,543,60.28,39.58,41.81,25.74,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
474,86,118,735,46.7,48.18,45.46,49.96,widget6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
464,161,149,734,44.93,34.14,38.18,44.58,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
588,160,168,695,37.18,35.29,43.37,45.73,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
289,93,160,722,37.49,39.08,25.7,40.94,widget7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
673,142,116,410,69.41,54.25,69.68,39.77,widget2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
205,211,129,529,59.84,37.69,58.41,35.96,widget2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
435,130,111,686,63.02,60.04,61.26,30.67,widget4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
314,179,94,531,55.81,27.67,42.51,31.81,widget5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
280,136,120,495,66.7,45.75,54.24,53.64,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
433,144,84,823,60.41,72.68,42.16,47.24,widget3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
679,98,132,318,31.09,67.54,37.02,38.88,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
476,147,60,557,51.5,47.22,41.11,37.29,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
338,139,164,500,37.42,45.97,31.27,58.17,widget1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
658,95,129,685,74.39,52.18,66.17,23.29,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
468,142,85,379,52.93,16.74,74.34,33.18,widget5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
330,163,104,445,52.07,40.5,33.3,45.24,widget3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
537,106,113,398,69.72,37.9,72.75,26.21,widget4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
234,162,84,482,53.63,33.58,68.61,24.25,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
391,151,81,487,64.36,19.88,62.32,30.15,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
457,90,146,571,48.87,79.01,32.94,45.59,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
593,107,145,540,50.23,29.94,48.67,47.18,widget1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
397,124,167,590,24.68,73.32,35.64,45.39,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
642,123,122.567045,469,39.29,58.74,49.64,58.78,widget6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
352,177,91,468,59.88,60.69,40.2,47.32,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
492,89,109,702,81.51,62.9,86.58,11.3,widget4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
340,154,122.567045,479,42.95,69.91,31.87,48.52,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
414,116,100,692,40.57,48.11,13.09,47.74,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
298,170,126,579,40.79,30.23,56.66,41.63,widget2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
357,138,84,449,46.76,58.45,32.78,39.13,widget3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
525,104,141,421,31.66,53.92,56.69,50.14,widget1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
118,177,86,519,48.33,41.48,55.83,25.4,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
517,162,87,492,61.98,63.87,45.52,46.03,widget3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
219,115,160,672,23.66,87.2,38.07,47.46,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,163,130,593,39.9,59.36,56.3,60.6,widget6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
455,170,114,286,71.7,56.04,75.09,33.87,widget2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
359,106,134,663,47.23,45.48,41.21,48.17,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
274,172,122.567045,431,32.36,77.97,54.98,56.79,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
494,113,94,614,67.79,62.7,47.67,31.71,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
393,158,84,433,58.91,24.79,74.76,20,widget5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
451,131,145,531,26.35,32.89,42.25,47.49,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
412,116,140,609,45.57,82.42,25.3,50.3,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
284,92,155,466,22.6,70.04,31.09,42.56,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
406,114,140,758,66,54.97,75.82,28.28,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
492,181,114,620,62.58,35.89,53.77,36.51,widget5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
621,87,129,575,59.93,41.93,56.08,29.39,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
738,98,148,447,21.1,47.44,46.12,42.96,widget1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
580,153,69,539,56.33,52.8,41.12,64.09,widget3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
535,122,122.567045,676,59.97,38.03,32.05,45.58,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
450,149,176,460,30.72,57.67,30.24,35.64,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
560,189,87,704,31.85,58.79,49.08,36.02,widget3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
232,145,152,554,52.78,57.51,55.05,52.17,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
587,167,111,618,82.21,41.62,41.37,43.38,widget3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
221,150,122.567045,521,15.03,55.48,60.76,48.33,widget7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
580,134,111,755,74.92,36.36,38.49,35.71,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
371,159,147,574,42.18,32.21,51.9,51.5,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
460,111,161,622,51.56,44.56,40.36,35.24,widget1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
445,185,101,625,61.28,62,45.07,56.18,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
591,132,140,478,56.39,54.51,75.43,23.8,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
253,159,109,467,58,33.33,57.11,26.01,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
381,155,71,534,33.38,55.25,55.7,46.1,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
518,98,118,479,55.04,50.75,38.99,47.98,widget6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
328,186,96,583,50.6,20.38,42.51,36.83,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
446,138,162,624,46.2,68.82,32.04,43.08,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
534,226,124,587,52.17,29.03,66.36,31.9,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
380,135,150,608,34.07,67.75,31.45,53.2,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
517,210,129,621,63.68,42.11,78.06,39.89,widget2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
355,102,127,539,59.29,50.61,79.83,26.6,widget4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
465,101,167,544,20.2,40.13,34.31,32.7,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
475,184,94,450,49.68,50.31,18.52,39.56,widget3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
529,69,132,700,57.87,37.28,83.25,19.66,widget4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
434,166,77,528,59.65,46.84,19.86,36.11,widget3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
532,125,60,536,54.31,13.59,56.6,28.01,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
479,160,122.567045,665,56.44,54.17,41.43,58.61,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
362,167,122,623,48.51,49.28,63.84,48.22,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
571,128,150,741,62.3,37.29,74.04,38.59,widget4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
594,128,164,542,55.98,59.24,47.17,51.94,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
584,161,75,495,69.44,45.09,54.37,38.17,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
471,185,75,469,51.94,38.07,34.13,46.1,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
212,158,161,653,44,81.08,40.66,40.56,widget7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
448,92,153,550,12.4,90.96,48.57,44.86,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
560,135,77,604,61.08,51.01,23.55,64.17,widget3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
531,132,156,581,53.4,58.09,63.2,48.6,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
664,175,57,448,48.44,59.05,30.63,32.46,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
395,132,140,369,57.19,45.19,31.58,56.29,widget6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
302,175,124,440,85.29,51.54,49.34,29.02,widget2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,138,161,599,30.83,54.64,22.69,46.37,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
531,149,148,428,55.13,68.69,53.6,50.89,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
358,145,135,512,55.1,64.94,36.25,38.47,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
499,175,133,622,55.44,54.86,54.07,39.09,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
463,132,165,463,15.94,62.96,29.5,43.93,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185,118,84,594,47.33,15.03,65.46,30.37,widget5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
663,112,115,449,78.54,62.55,58.84,23.23,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
541,113,162,504,40.05,62.09,30.63,47.74,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
553,103,140,667,89.33,56.5,62.62,28.13,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
282,119,159,694,43.12,35.67,42.97,43.67,widget1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
370,150,93,359,50.32,46.77,80.36,16.13,widget5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
573,134,77,725,93.95,49.05,31.3,41.13,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
308,134,135,590,33.11,62.46,23.07,49.24,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
223,141,78,636,41.9,24.89,74.42,22.31,widget5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
325,79,146,506,46.42,48.64,50.57,44.28,widget1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
439,151,122.567045,492,46.41,33.71,70.66,31.35,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
440,119,141,599,36.79,35.17,42.9,44.93,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
595,145,105,560,68.8,55.81,49.65,13.35,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
489,137,133,595,47.82,67.37,39.67,62.53,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
386,160,61,620,70.1,57.47,37.97,49.2,widget3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
537,151,136,598,47.61,49.58,38.63,53.56,widget6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
309,142,137,587,40.97,62.85,56.74,54.27,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
303,160,91,440,68.84,11.12,68.32,27.2,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
769,86,122.567045,723,70.89,44.34,53.68,18.61,widget4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
649,144,139,540,33.5,51.46,24.6,41.3,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
437,158,158,463,40.17,66.4,43.48,33.54,widget7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
392,98,109,585,22.97,67.51,26.3,48.14,widget1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
406,127,156,455,57.5,48.67,32.91,34.75,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
583,123,118,679,52.34,67.47,68.97,20.26,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
387,143,104,452,60.41,40.5,34.43,26.93,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
610,174,120,604,52.78,38.61,75.24,28.32,widget2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
466,110,131,618,69.34,69.46,82.83,22.98,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,126,114,434,52.26,34.02,63.72,21.03,widget5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
344,130,80,649,41.77,33.12,68.02,25.3,widget5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
461,119,156,461,33.17,70.37,54.06,37.37,widget7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
373,124,71,221,55.37,16.73,55.18,33.63,widget5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
616,149,108,558,83.31,26.48,73.53,42.1,widget2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350,111,122.567045,555,47.15,40.22,35.17,41.18,widget1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
407,125,57,353,60.41,35.04,70.64,32.41,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
554,88,123,589,76.01,58.08,90.14,26.27,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
394,164,74,751,52.48,48.22,48.65,50.37,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
381,145,100,443,57.61,24.67,81.41,25.26,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,134,101,438,65.81,37.22,63.64,21.95,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
422,123,66,422,47.88,26.33,57.4,24.16,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
554,208,137,684,60.29,35.11,49.57,46.61,widget2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
410,94,152,325,36.41,51.43,55.94,65.85,widget6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
485,147,144,631,56.15,84.32,73.58,54.6,widget6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
645,168,99,655,63.81,42.68,10.76,40.82,widget3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,146,63,472,40.99,29.67,56.88,30.12,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
288,180,125,504,29.92,65.64,48.97,49.93,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
662,230,91,661,62.12,23.69,49.56,43.85,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
714,131,141,573,31.98,32.3,46.95,42.49,widget1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
362,200,117,429,74.09,47.05,73.69,19.42,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,150,68,388,54.61,39.96,39.3,30.7,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
474,142,143,617,38.07,75.09,62.08,50.55,widget6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
581,109,126,555,56.61,49.67,56.49,50.89,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
364,190,122.567045,514,48.75,53.26,80.55,39.83,widget2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
351,146,128,785,77.43,34.49,77.08,35.12,widget2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
349,124,189,466,46.56,71.42,55.09,38.92,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
197,176,95,453,41.89,29.46,72.02,30.96,widget5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
741,82,111,576,45.86,60.98,51.01,33.93,widget4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
323,82,118,710,55.49,38.81,71.4,20.94,widget4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
489,184,113,429,62.77,40.95,56.83,44.45,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
360,109,134,663,71.45,41.13,72.89,24.52,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
642,129,140,471,44.63,71.89,59.2,46.89,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,128,153,488,35.65,49.69,14.05,44.32,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
368,176,143,681,37.31,52.31,51.28,48.44,widget6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
500,160,117,811,26.17,75.69,37.86,54.38,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
283,138,125,459,45.55,60.16,51.92,47.53,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
413,125,125,433,59.43,69.74,72.66,22.67,widget4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
638,144,140,760,72.43,50.78,50.02,14.18,widget4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
330,151,82,391,57.12,41.92,67.47,28.49,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
683,132,105,796,70.57,60.61,28.66,45.43,widget3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
526,94,160,398,62.47,43.59,37.82,35.46,widget1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
248,91,133,754,24.39,30.76,43.89,43.42,widget1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
458,101,157,617,67.95,42.07,67.61,51.17,widget6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
524,141,135,641,58.71,58.5,72.36,24.38,widget4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
313,186,128,388,55.35,48.9,64.44,31.68,widget2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
292,151,121,671,67.8,50.2,55.69,47.21,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
389,118,169,527,36.98,28.96,52.18,41.18,widget1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
337,157,105,458,46.23,38,59.04,27.49,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
634,160,72,494,67.18,50.56,26.02,45.66,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
345,149,84,518,30.22,23.13,69.54,29.72,widget5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
642,200,78,694,79.12,23.69,76.18,41.28,widget2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
339,181,122,541,62.54,27.25,68.43,35.54,widget2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
660,116,73,516,63.99,70.95,20.03,31.17,widget3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
423,138,163,583,58.41,51.12,56.74,48.31,widget1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
359,95,152,466,39.04,67.37,68.28,43.59,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
627,120,154,691,29.09,56.03,41.35,46.43,widget1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
390,81,88,698,64.39,49.26,74.36,28.38,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
220,157,100,622,50.2,25.63,68.98,19.24,widget5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
535,164,149,712,26.4,65.64,68.08,45.05,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
538,128,78,254,61.61,35.71,79.17,31.03,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
267,110,166,503,20.39,52.3,14.49,46.23,widget7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
470,121,136,567,30.87,42.13,51.99,49.56,widget1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
552,151,74,698,56.24,68.71,24.69,41.7,widget3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
621,132,122,677,63.53,55.54,84.33,21.2,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
533,122,139,566,14.26,57.05,45.32,43.08,widget6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
504,136,94,642,50.99,61.24,79.23,16.84,widget4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
488,146,98,535,64.72,23.88,48.42,27.99,widget5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
353,148,139,657,64.9,78.53,38.42,59.09,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
